t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
452793181,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452811292,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452821387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452831342,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452842441,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452851426,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452861673,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452871744,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452881469,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452891385,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452901475,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452911479,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452921539,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452931414,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452941417,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452951576,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452961818,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452971384,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452981541,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
452991388,0,0,0,0,0.000,0.000,-0.0010,0.0000,41.80
453001418,0,0,0,0,0.000,0.000,-0.0010,0.0000,41.80
453011449,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453021389,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453031383,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453041419,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453051900,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453061723,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453071603,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453081391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453091446,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453101563,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453111608,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453121433,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453131387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453142474,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453151410,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453161380,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453171459,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453181560,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453191781,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453201483,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453211723,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453221552,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453231428,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453241413,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453251442,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453261386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453271666,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453281397,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453291382,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453301389,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453311657,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453321452,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453331387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453341436,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453351398,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453361398,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453371525,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453381419,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453391457,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453401399,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453411383,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453421445,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453431444,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453441405,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453453045,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453462387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453471354,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453481500,0,0,0,0,0.000,0.000,0.0000,-0.0010,41.80
453491346,0,0,0,0,0.000,0.000,0.0000,-0.0010,41.90
453502313,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453511451,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453521534,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453531417,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453541536,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453551652,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453561388,0,0,0,0,0.000,0.000,0.0000,0.0000,41.90
453571383,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453581625,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453591429,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453601422,1500,0,0,0,0.000,0.000,0.0000,0.0000,41.80
453611389,1500,0,0,0,0.000,0.000,-0.0040,0.0000,41.80
453621794,1500,0,0,0,0.000,0.000,-0.0040,0.0000,41.80
453632704,1500,0,0,0,1.800,0.000,0.0790,0.0080,41.80
453641391,1500,0,0,0,1.800,0.000,0.0790,0.0080,41.80
453651455,1500,0,128,80,3.400,-0.100,0.1060,0.0170,41.80
453661390,1500,0,128,80,3.400,-0.100,0.1060,0.0170,41.80
453671889,1500,0,140,-59,6.100,0.100,0.1530,-0.0030,41.70
453681538,1500,0,140,-59,6.100,0.100,0.1530,-0.0030,41.70
453691450,1500,0,273,98,7.800,0.100,0.1850,-0.0230,41.50
453701449,1500,0,273,98,7.800,0.100,0.1850,-0.0230,41.50
453711457,1500,0,389,-99,7.600,0.000,0.2030,0.0200,41.50
453721384,1500,0,389,-99,7.600,0.000,0.2030,0.0200,41.50
453731584,1500,0,597,79,7.300,0.300,0.1980,-0.0330,41.50
453741430,1500,0,597,79,7.300,0.300,0.1980,-0.0330,41.50
453751458,1500,0,736,14,6.900,0.100,0.2440,0.0150,41.50
453761386,1500,0,736,14,6.900,0.100,0.2440,0.0150,41.50
453771421,1500,0,960,49,6.200,0.400,0.2100,-0.0120,41.50
453781480,1500,0,960,49,6.200,0.400,0.2100,-0.0120,41.50
453791420,1500,0,960,4,6.200,0.000,0.2100,0.0020,41.50
453801353,1500,0,1103,4,5.600,0.000,0.2300,0.0020,41.50
453811447,1500,0,1103,0,5.600,-0.100,0.2300,0.0010,41.50
