t_us,tgt_l,tgt_r,erpm_l,erpm_r,i_l,i_r,duty_l,duty_r,vin
535043151,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535061551,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535071539,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535081384,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535092204,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535101420,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535112403,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535122115,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535131437,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535141391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535151382,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535162895,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535171388,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535181665,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535191765,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535201393,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535211439,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535221447,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535231377,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535241359,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535251425,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535261358,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535271399,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535281462,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535291428,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535301560,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535311386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535322586,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535331392,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535341592,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535351429,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535361502,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535371350,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535381293,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535391448,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535401389,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535411383,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535422005,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535431387,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535441406,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535451396,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535461426,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535471456,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535481392,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535491457,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535501386,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535511404,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535521354,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535531472,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535541391,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535551464,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535561388,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535572198,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
535581392,0,0,0,0,0.000,0.000,0.0000,0.0000,41.80
